CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F2344,F2345,
,,,,,Central heating in household; type of : No central heating - Unit : Households,Central heating in household; type of : Does have central heating - Unit : Households,
367,E08000035,Leeds,Local Authorities,LA,17025,303571,
30210,E01011264,Leeds 011A,Lower Super Output Areas and Data Zones,LSOADZ,37,528,
30211,E01011265,Leeds 009A,Lower Super Output Areas and Data Zones,LSOADZ,31,717,
30212,E01011266,Leeds 008A,Lower Super Output Areas and Data Zones,LSOADZ,22,871,
30213,E01011267,Leeds 009B,Lower Super Output Areas and Data Zones,LSOADZ,41,625,
30214,E01011268,Leeds 010A,Lower Super Output Areas and Data Zones,LSOADZ,77,538,
30215,E01011269,Leeds 011B,Lower Super Output Areas and Data Zones,LSOADZ,41,694,
30216,E01011270,Leeds 008B,Lower Super Output Areas and Data Zones,LSOADZ,9,640,
30217,E01011271,Leeds 009C,Lower Super Output Areas and Data Zones,LSOADZ,24,879,
30218,E01011272,Leeds 009D,Lower Super Output Areas and Data Zones,LSOADZ,14,557,
30219,E01011273,Leeds 010B,Lower Super Output Areas and Data Zones,LSOADZ,38,662,
30220,E01011274,Leeds 010C,Lower Super Output Areas and Data Zones,LSOADZ,47,633,
30221,E01011275,Leeds 010D,Lower Super Output Areas and Data Zones,LSOADZ,30,572,
30222,E01011276,Leeds 011C,Lower Super Output Areas and Data Zones,LSOADZ,28,583,
30223,E01011277,Leeds 014A,Lower Super Output Areas and Data Zones,LSOADZ,20,587,
30224,E01011278,Leeds 014B,Lower Super Output Areas and Data Zones,LSOADZ,20,696,
30225,E01011279,Leeds 008C,Lower Super Output Areas and Data Zones,LSOADZ,20,553,
30226,E01011280,Leeds 008D,Lower Super Output Areas and Data Zones,LSOADZ,13,702,
30227,E01011281,Leeds 059A,Lower Super Output Areas and Data Zones,LSOADZ,28,796,
30228,E01011282,Leeds 059B,Lower Super Output Areas and Data Zones,LSOADZ,40,570,
30229,E01011283,Leeds 059C,Lower Super Output Areas and Data Zones,LSOADZ,15,523,
30230,E01011284,Leeds 071A,Lower Super Output Areas and Data Zones,LSOADZ,110,768,
30231,E01011286,Leeds 059D,Lower Super Output Areas and Data Zones,LSOADZ,26,512,
30232,E01011287,Leeds 067B,Lower Super Output Areas and Data Zones,LSOADZ,26,573,
30233,E01011292,Leeds 071B,Lower Super Output Areas and Data Zones,LSOADZ,71,752,
30234,E01011293,Leeds 071C,Lower Super Output Areas and Data Zones,LSOADZ,58,685,
30235,E01011294,Leeds 071D,Lower Super Output Areas and Data Zones,LSOADZ,31,431,
30236,E01011295,Leeds 059E,Lower Super Output Areas and Data Zones,LSOADZ,55,631,
30237,E01011296,Leeds 030A,Lower Super Output Areas and Data Zones,LSOADZ,14,757,
